name,filiere,category,eicCode,plantId,reactorIndex,stage,thermalPower_MW,rawPower_MW,netPower_MW,buildStartDate,firstReactionDate,gridLinkDate,exploitationStartDate,moxAuthorizationDate,coolingTowerCount
GROUPE 04 DE LA CENTRALE HYDRAULIQUE DE BEAUCAIRE,Hydraulique fil de l'eau / éclusée,HYDRO_RUN_OF_RIVER_AND_POUNDAGE,,BEAUCAIRE,4,,,,35,,,,,,
GROUPE 04 DE LA CENTRALE HYDRAULIQUE DE BEAUCHASTEL,Hydraulique fil de l'eau / éclusée,HYDRO_RUN_OF_RIVER_AND_POUNDAGE,,BEAUCHASTEL,4,,,,32,,,,,,
GROUPE 04 DE LA CENTRALE HYDRAULIQUE DE BOLLENE,Hydraulique fil de l'eau / éclusée,HYDRO_RUN_OF_RIVER_AND_POUNDAGE,,BOLLENE,4,,,,58,,,,,,
GROUPE 04 DE LA CENTRALE HYDRAULIQUE DE BOURG-LES-VALENCE,Hydraulique fil de l'eau / éclusée,HYDRO_RUN_OF_RIVER_AND_POUNDAGE,,BOURG-LES-VALENCE,4,,,,30,,,,,,
GROUPE 04 DE LA CENTRALE HYDRAULIQUE DE CADEROUSSE,Hydraulique fil de l'eau / éclusée,HYDRO_RUN_OF_RIVER_AND_POUNDAGE,,CADEROUSSE,4,,,,31.5,,,,,,
GROUPE 04 DE LA CENTRALE HYDRAULIQUE DE CHATEAUNEUF-DU-RHONE,Hydraulique fil de l'eau / éclusée,HYDRO_RUN_OF_RIVER_AND_POUNDAGE,,CHATEAUNEUF-DU-RHONE,4,,,,45.8,,,,,,
GROUPE 04 DE LA CENTRALE HYDRAULIQUE DE GENISSIAT,Hydraulique fil de l'eau / éclusée,HYDRO_RUN_OF_RIVER_AND_POUNDAGE,,GENISSIAT,4,,,,65.1,,,,,,
GROUPE 04 DE LA CENTRALE HYDRAULIQUE DE GERVANS,Hydraulique fil de l'eau / éclusée,HYDRO_RUN_OF_RIVER_AND_POUNDAGE,,GERVANS,4,,,,30,,,,,,
GROUPE 04 DE LA CENTRALE HYDRAULIQUE DE LOGIS-NEUF,Hydraulique fil de l'eau / éclusée,HYDRO_RUN_OF_RIVER_AND_POUNDAGE,,LOGIS-NEUF,4,,,,31.9,,,,,,
GROUPE 04 DE LA CENTRALE HYDRAULIQUE DE PIERRE-BENITE,Hydraulique fil de l'eau / éclusée,HYDRO_RUN_OF_RIVER_AND_POUNDAGE,,PIERRE-BENITE,4,,,,20,,,,,,
